ID;ano;participantes;categoria;categ;genero;instituicao;tipo.inst;tipos.inst;municipio;UF;regiao;pais;latitude;longitude
3;1997;Aílton Carneiro de Oliveira;Instrutor;I;M;CEMAVE;2;orgao-ambiental;Brasília;DF;Centro-Oeste;Brasil;-15.794087;-47.887905
35;2011;Aílton Carneiro de Oliveira;Instrutor;I;M;CEMAVE;2;orgao-ambiental;Brasília;DF;Centro-Oeste;Brasil;-15.794087;-47.887905
27;2013;Aílton Carneiro de Oliveira;Instrutor;I;M;CEMAVE;2;orgao-ambiental;Brasília;DF;Centro-Oeste;Brasil;-15.794087;-47.887905
30;2016;Aílton Carneiro de Oliveira;Instrutor;I;M;CEMAVE;2;orgao-ambiental;Brasília;DF;Centro-Oeste;Brasil;-15.794087;-47.887905
31;2017;Aílton Carneiro de Oliveira;Instrutor;I;M;CEMAVE;2;orgao-ambiental;Brasília;DF;Centro-Oeste;Brasil;-15.794087;-47.887905
33;2018;Aílton Carneiro de Oliveira;Instrutor;I;M;CEMAVE;2;orgao-ambiental;Brasília;DF;Centro-Oeste;Brasil;-15.794087;-47.887905
34;2019;Aílton Carneiro de Oliveira;Instrutor;I;M;CEMAVE;1;ensino-pesquisa;Brasília;DF;Centro-Oeste;Brasil;-15.794087;-47.887905
36;2012;Aílton Carneiro de Oliveira;Instrutor;I;M;CEMAVE;2;orgao-ambiental;Brasília;DF;Centro-Oeste;Brasil;-15.794087;-47.887905
28;2014;Aílton Carneiro de Oliveira;Instrutor;I;M;CEMAVE;2;orgao-ambiental;Brasília;DF;Centro-Oeste;Brasil;-15.794087;-47.887905
21;1991;Albano Schultz Neto;Instrutor;I;M;CEMAVE;2;orgao-ambiental;Recife;PE;Nordeste;Brasil;-8.062762;-34.888942
24;1995;Albano Schultz Neto;Instrutor;I;M;CEMAVE;2;orgao-ambiental;Cabedelo;PB;Nordeste;Brasil;-6.966983;-34.83943
14;1991;Albano Schultz Neto ;Instrutor;I;M;CEMAVE;2;orgao-ambiental;Recife;PE;Nordeste;Brasil;-8.062762;-34.888942
3;1997;Albano Schultz Neto ;Instrutor;I;M;CEMAVE;2;orgao-ambiental;Brasília;DF;Centro-Oeste;Brasil;-15.794087;-47.887905
18;2015;Andrei Langeloh Roos;Instrutor;I;M;ICMBio;2;orgao-ambiental;Florianópolis;SC;Sul;Brasil;-27.587796;-48.547637
6;2011;Andrei Langeloh Roos;Instrutor;I;M;CEMAVE;2;orgao-ambiental;João Pessoa;PB;Nordeste;Brasil;-7.149382;-34.873385
7;2019;Antonio Eduardo Araújo Barbosa;Instrutor;I;M;CEMAVE;2;orgao-ambiental;João Pessoa;PB;Nordeste;Brasil;-7.149382;-34.873385
7;2019;Antonio Emanuel Barreto Alves de Sousa;Instrutor;I;M;CEMAVE;2;orgao-ambiental;João Pessoa;PB;Nordeste;Brasil;-7.149382;-34.873385
26;2019;Antonio Emanuel Barreto Alves de Sousa;Instrutor;I;M;CEMAVE;2;orgao-ambiental;Cabedelo;PB;Nordeste;Brasil;-6.966983;-34.83943
